finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,title,date,birthYear,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,associated_companies,number_of_companies
80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69.73305954825462,France,Paris,Retail and Consumer Goods,Consumer Discretionary,France,False,U,F,1953-07-10 00:00:00,Vice Chair & President,2023-04-04 05:01:00,1953.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,L'Oréal,1
79200,Technology,Larry Page,50.02327173169062,United States,Palo Alto,Technology,Technology & Telecommunications,United States,True,D,M,1973-03-26 00:00:00,Cofounder & Board Member,2023-04-04 05:01:00,1973.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Alphabet, Google",2
77300,Fashion & Retail,Amancio Ortega,87.01711156741958,Spain,La Coruna,Retail and Consumer Goods,Consumer Discretionary,Spain,True,U,M,1936-03-28 00:00:00,Founder & Former Chairman,2023-04-04 05:01:00,1936.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,Zara,1
76000,Technology,Sergey Brin,49.61806981519507,United States,Los Altos,Technology,Technology & Telecommunications,United States,True,D,M,1973-08-21 00:00:00,Cofounder & Board Member,2023-04-04 05:01:00,1973.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Alphabet, Google",2
68000,Food & Beverage,Zhong Shanshan,68.33949349760438,China,Hangzhou,Healthcare and Pharmaceuticals,Consumer Staples,China,True,U,M,1954-12-01 00:00:00,Founder & Chairman,2023-04-04 05:01:00,1954.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,"Beverages, pharmaceuticals",2
64400,Technology,Mark Zuckerberg,38.888432580424364,United States,Palo Alto,Technology,Technology & Telecommunications,United States,True,D,M,1984-05-14 00:00:00,"Founder, Chairman & CEO",2023-04-04 05:01:00,1984.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Facebook, Meta Platforms",2
59000,Diversified,Charles Koch & family,87.42231348391513,United States,Wichita,Other,Other,United States,False,D,M,1935-11-01 00:00:00,Chairman & Co-CEO,2023-04-04 05:01:00,1935.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Koch Industries, Koch Industries, Inc.",2
59000,Diversified,Julia Koch & family,60.97741273100616,United States,New York,Other,Other,United States,False,D,F,1962-04-12 00:00:00,Board Member & Owner,2023-04-04 05:01:00,1962.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Koch Industries,1
58800,Fashion & Retail,Jim Walton,74.8227241615332,United States,Bentonville,Technology,Consumer Discretionary,United States,False,D,M,1948-06-07 00:00:00,Chairman & CEO,2023-04-04 05:01:00,1948.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Arvest Bank Group, Inc., Walmart",2
57600,Fashion & Retail,Rob Walton & family,78.43394934976044,United States,Bentonville,Technology,Consumer Discretionary,United States,False,D,M,1944-10-27 00:00:00,Former Chairman,2023-04-04 05:01:00,1944.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Walmart,1
56700,Fashion & Retail,Alice Walton,73.48939082819986,United States,Fort Worth,Technology,Consumer Discretionary,United States,False,D,F,1949-10-07 00:00:00,Chairman,2023-04-04 05:01:00,1949.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Crystal Bridges Museum of American Art, Walmart",2
54400,Media & Entertainment,David Thomson & family,65.80971937029432,Canada,Toronto,Real Estate and Construction,"Media, Entertainment & Leisure",Canada,False,U,M,1957-06-12 00:00:00,Chairman,2023-04-04 05:01:00,1957.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,"Media, Thomson Reuters Corporation",2
50100,Technology,Michael Dell,58.10814510609172,United States,Austin,Technology,Technology & Telecommunications,United States,True,D,M,1965-02-23 00:00:00,Chairman & CEO,2023-04-04 05:01:00,1965.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Dell Inc., Dell Technologies",2
47200,Diversified,Gautam Adani,60.77754962354552,India,Ahmedabad,Finance and Investments,Other,India,True,D,M,1962-06-24 00:00:00,Chairman & Founder,2023-04-04 05:01:00,1962.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,"Infrastructure, commodities",2
45100,Fashion & Retail,Phil Knight & family,85.10609171800137,United States,Hillsboro,Retail and Consumer Goods,Consumer Discretionary,United States,True,D,M,1938-02-24 00:00:00,Cofounder & Chairman Emeritus,2023-04-04 05:01:00,1938.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Nike,1
45000,Technology,Zhang Yiming,39.25530458590007,China,Beijing,Technology,Technology & Telecommunications,China,True,D,M,1984-01-01 00:00:00,Founder,2023-04-04 05:01:00,1984.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,"ByteDance, TikTok",2
42900,Fashion & Retail,Dieter Schwarz,83.52635181382615,Germany,Neckarsulm,Finance and Investments,Consumer Discretionary,Germany,False,D,M,1939-09-24 00:00:00,Owner,2023-04-04 05:01:00,1939.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,Retail,1
40100,Fashion & Retail,François Pinault & family,86.61738535249829,France,Paris,Retail and Consumer Goods,Consumer Discretionary,France,True,D,M,1936-08-21 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1936.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,Luxury goods,1
39100,Logistics,Klaus-Michael Kuehne,85.83709787816564,Switzerland,Schindellegi,Finance and Investments,,Germany,False,U,M,1937-06-02 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1937.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,Shipping,1
38900,Food & Beverage,Giovanni Ferrero,58.53251197809719,Belgium,Brussels,Food and Agriculture,Consumer Staples,Italy,False,U,M,1964-09-21 00:00:00,Executive Chairman,2023-04-04 05:01:00,1964.0,117.11,1.4,529606710418.0,79.7,103.9,81.6,24.0,55.4,11484055.0,"Nutella, chocolates",2
38300,Food & Beverage,Jacqueline Mars,83.48254620123203,United States,The Plains,Retail and Consumer Goods,Consumer Staples,United States,False,U,F,1939-10-10 00:00:00,Owner,2023-04-04 05:01:00,1939.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Candy, pet food",2
38300,Food & Beverage,John Mars,87.46885694729637,United States,Jackson,Retail and Consumer Goods,Consumer Staples,United States,False,U,M,1935-10-15 00:00:00,Owner,2023-04-04 05:01:00,1935.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Candy, pet food",2
38000,Diversified,Li Ka-shing,94.80629705681041,Hong Kong,Hong Kong,Technology,Other,Hong Kong,True,U,M,1928-06-13 00:00:00,Senior Advisor & Former Chairman,2023-04-04 05:01:00,1928.0,117.24,2.9,19910000000000.0,66.3,101.8,78.5,9.6,41.8,328239523.0,"CK Hutchison Holdings, Diversified",10
35300,Technology,Ma Huateng,51.43052703627652,China,Shenzhen,Technology,Technology & Telecommunications,China,True,D,M,1971-10-29 00:00:00,Chairman and CEO,2023-04-04 05:01:00,1971.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,"Internet media, Tencent Holdings",2
35000,Gambling & Casinos,Miriam Adelson & family,77.48117727583846,United States,Las Vegas,Real Estate and Construction,Consumer Discretionary,United States,False,U,F,1945-10-10 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1945.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Casinos,1
35000,Finance & Investments,Ken Griffin,54.46680355920602,United States,Miami,Finance and Investments,Financials & Investments,United States,True,U,M,1968-10-15 00:00:00,Founder & CEO,2023-04-04 05:01:00,1968.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Citadel LLC, Hedge funds",2
34700,Food & Beverage,Mark Mateschitz,30.90759753593429,Austria,Salzburg,Energy and Utilities,Consumer Staples,Austria,False,N,M,1992-05-07 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1992.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,25.4,51.4,8877067.0,Red Bull,1
33400,Manufacturing,Robin Zeng,54.25325119780972,China,Ningde,Other,Consumer Discretionary,Hong Kong,True,D,M,1969-01-01 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1969.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,Batteries,1
32600,Fashion & Retail,Tadashi Yanai & family,74.15195071868582,Japan,Tokyo,Finance and Investments,Consumer Discretionary,Japan,True,U,M,1949-02-07 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1949.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,Fashion retail,1
32100,Diversified,Len Blavatnik,65.83983572895278,United Kingdom,London,Manufacturing and Industrial,Other,United States,True,D,M,1957-06-01 00:00:00,Founder & Entrepreneur & Music,2023-04-04 05:01:00,1957.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,"Music, chemicals",2
31600,Fashion & Retail,Alain Wertheimer,74.59822039698837,United States,New York,Retail and Consumer Goods,Consumer Discretionary,France,False,U,M,1948-08-28 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1948.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Chanel,1
31600,Fashion & Retail,Gerard Wertheimer,72.23271731690623,United States,New York,Retail and Consumer Goods,Consumer Discretionary,France,False,U,M,1951-01-09 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1951.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Chanel,1
31200,Logistics,Gianluigi Aponte,82.76796714579055,Switzerland,Geneva,Finance and Investments,,Switzerland,True,Split Family Fortune,M,1940-06-27 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1940.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,Shipping,1
31200,Logistics,Rafaela Aponte-Diamant,78.02327173169063,Switzerland,Geneva,Finance and Investments,,Switzerland,True,Split Family Fortune,F,1945-03-26 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1945.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,Shipping,1
30200,Technology,Colin Zheng Huang,43.167693360711844,China,Shanghai,Retail and Consumer Goods,Technology & Telecommunications,China,True,U,M,1980-02-02 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1980.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,E-commerce,1
29700,Manufacturing,Reinhold Wuerth & family,87.95619438740589,Germany,Kuenzelsau,Manufacturing and Industrial,Industrials & Manufacturing,Germany,True,U,M,1935-04-20 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1935.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,Fasteners,1
29500,Real Estate,Lee Shau Kee,95.17864476386038,Hong Kong,Hong Kong,Finance and Investments,Real Estate & Construction,Hong Kong,True,D,M,1928-01-29 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1928.0,117.24,2.9,19910000000000.0,66.3,101.8,78.5,9.6,41.8,328239523.0,Real estate,1
28500,Finance & Investments,Jeff Yass,64.71457905544148,United States,Haverford,Finance and Investments,Financials & Investments,United States,True,U,M,1958-07-17 00:00:00,Founder & Entrepreneur & Trading,2023-04-04 05:01:00,1958.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Trading, investments",2
28100,Finance & Investments,Jim Simons,84.94182067077344,United States,East Setauket,Finance and Investments,Financials & Investments,United States,True,D,M,1938-04-25 00:00:00,Founder,2023-04-04 05:01:00,1938.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Hedge funds, Renaissance Technologies Corp.",2
27800,Finance & Investments,Stephen Schwarzman,76.13415468856947,United States,New York,Finance and Investments,Financials & Investments,United States,True,D,M,1947-02-14 00:00:00,Chairman and CEO,2023-04-04 05:01:00,1947.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Blackstone Group, Investments",2
27400,Manufacturing,Susanne Klatten,60.93360711841205,Germany,Bad Homburg,Healthcare and Pharmaceuticals,Consumer Discretionary,Germany,False,U,F,1962-04-28 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1962.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,"BMW, pharmaceuticals",2
27000,Metals & Mining,Gina Rinehart,69.14715947980835,Australia,Perth,Technology,Industrials & Manufacturing,Australia,False,D,F,1954-02-09 00:00:00,Executive Chairman,2023-04-04 05:01:00,1954.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,"Hancock Prospecting, Mining",2
26700,Technology,William Ding,51.507186858316224,China,Hangzhou,Technology,Technology & Telecommunications,China,True,U,M,1971-10-01 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1971.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,Online games,1
26600,Metals & Mining,Germán Larrea Mota Velasco & family,69.43737166324435,Mexico,Mexico City,Technology,Industrials & Manufacturing,Mexico,False,D,M,1953-10-26 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1953.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,Mining,1
25600,Technology,Shiv Nadar,77.71115674195757,India,Delhi,Technology,Technology & Telecommunications,India,True,D,M,1945-07-18 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1945.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,software services,1
25500,Energy,Low Tuck Kwong,74.96235455167694,Indonesia,Jakarta,Real Estate and Construction,Energy & Natural Resources,Indonesia,True,U,M,1948-04-17 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1948.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,Coal,1
25300,Finance & Investments,Thomas Peterffy,78.507871321013,United States,Palm Beach,Finance and Investments,Financials & Investments,United States,True,U,M,1944-09-30 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1944.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Discount brokerage,1
25200,Energy,Andrey Melnichenko & family,51.07186858316222,United Arab Emirates,Ras Al Khaimah,Real Estate and Construction,Industrials & Manufacturing,Russia,True,U,M,1972-03-08 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1972.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,"Fertilizers, coal",2
24600,Manufacturing,Stefan Quandt,56.903490759753595,Germany,Frankfurt,Other,Consumer Discretionary,Germany,False,U,M,1966-05-09 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1966.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,BMW,1
24400,Technology,MacKenzie Scott,52.99110198494182,United States,Seattle,Technology,Technology & Telecommunications,United States,False,D,F,1970-04-07 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1970.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Amazon,1
24200,Finance & Investments,R. Budi Hartono,82.25325119780972,Indonesia,Kudus,Finance and Investments,Financials & Investments,Indonesia,False,U,M,1941-01-01 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1941.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,"Banking, tobacco",2
23700,Metals & Mining,Vladimir Potanin,62.247775496235455,Russia,Moscow,Mining and Materials,Industrials & Manufacturing,Russia,True,U,M,1961-01-03 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1961.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,Metals,1
23500,Technology,Jack Ma,58.562628336755644,China,Hangzhou,Retail and Consumer Goods,Technology & Telecommunications,China,True,U,M,1964-09-10 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1964.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,E-commerce,1
23400,Manufacturing,He Xiangjian & family,80.64613278576317,China,Foshan,Technology,Industrials & Manufacturing,China,True,D,M,1942-08-11 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1942.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,Home appliances,1
23100,Metals & Mining,Iris Fontbona & family,80.25462012320328,Chile,Santiago,Technology,Industrials & Manufacturing,Chile,False,U,F,1943-01-01 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1943.0,131.91,2.6,282318159745.0,88.5,101.4,80.0,18.2,34.0,18952038.0,Mining,1
23100,Manufacturing,Michael Hartono,83.50444900752909,Indonesia,Kudus,Finance and Investments,Industrials & Manufacturing,Indonesia,False,U,M,1939-10-02 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1939.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,"Banking, tobacco",2
22900,Manufacturing,James Ratcliffe,70.25325119780972,United Kingdom,London,Manufacturing and Industrial,Industrials & Manufacturing,United Kingdom,True,U,M,1953-01-01 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1953.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,Chemicals,1
22600,Healthcare,Cyrus Poonawalla,81.89733059548254,India,Pune,Healthcare and Pharmaceuticals,Healthcare,India,False,D,M,1941-05-11 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1941.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,Vaccines,1
22400,Telecom,Masayoshi Son,65.64544832306639,Japan,Tokyo,Technology,Technology & Telecommunications,Japan,True,U,M,1957-08-11 00:00:00,CEO & Internet,2023-04-04 05:01:00,1957.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,"Internet, SoftBank Group Corp., telecom",3
22100,Energy,Vladimir Lisin,66.90759753593429,Russia,Moscow,Manufacturing and Industrial,Industrials & Manufacturing,Russia,True,U,M,1956-05-07 00:00:00,Founder & Entrepreneur & Steel,2023-04-04 05:01:00,1956.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,"Steel, transport",2
22000,Food & Beverage,Emmanuel Besnier,52.54209445585216,France,Laval,Food and Agriculture,Consumer Staples,France,False,D,M,1970-09-18 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1970.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,Cheese,1
21600,Finance & Investments,Abigail Johnson,61.28952772073922,United States,Milton,Finance and Investments,Financials & Investments,United States,False,U,F,1961-12-19 00:00:00,CEO,2023-04-04 05:01:00,1961.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Fidelity, Fidelity Investments",2
21600,Energy,Leonid Mikhelson & family,67.64681724845995,Russia,Moscow,Manufacturing and Industrial,Energy & Natural Resources,Russia,True,U,M,1955-08-11 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1955.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,"Gas, chemicals",2
21200,Fashion & Retail,Lukas Walton,36.539356605065024,United States,Chicago,Technology,Consumer Discretionary,United States,False,U,M,1986-09-19 00:00:00,Principal Shareholder & Investor,2023-04-04 05:01:00,1986.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Walmart,1
21200,Diversified,Wang Wei,52.506502395619435,China,Shenzhen,Transportation and Logistics,Industrials & Manufacturing,China,True,D,M,1970-10-01 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1970.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,Package delivery,1
21100,Technology,Jensen Huang,60.12594113620808,United States,Los Altos,Energy and Utilities,Technology & Telecommunications,United States,True,U,M,1963-02-17 00:00:00,CEO & President,2023-04-04 05:01:00,1963.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Nvidia, Semiconductors",2
21000,Fashion & Retail,Leonard Lauder,90.04243668720055,United States,New York,Other,Consumer Discretionary,United States,False,D,M,1933-03-19 00:00:00,Chairman Emeritus,2023-04-04 05:01:00,1933.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Estee Lauder, The Estée Lauder Companies",2
21000,Manufacturing,Takemitsu Takizaki,77.81519507186859,Japan,Osaka,Technology,Industrials & Manufacturing,Japan,True,D,M,1945-06-10 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1945.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,Sensors,1
20900,Energy,Alexey Mordashov & family,57.51950718685831,Russia,Moscow,Finance and Investments,Industrials & Manufacturing,Russia,True,U,M,1965-09-26 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1965.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,"Steel, investments",2
20500,Energy,Vagit Alekperov,72.5886379192334,Russia,Moscow,Finance and Investments,Energy & Natural Resources,Russia,True,U,M,1950-09-01 00:00:00,Founder & Entrepreneur & Oil,2023-04-04 05:01:00,1950.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,Oil,1
20200,Healthcare,"Thomas Frist, Jr. & family",84.64339493497604,United States,Nashville,Healthcare and Pharmaceuticals,Healthcare,United States,True,D,M,1938-08-12 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1938.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,Hospitals,1
19600,Metals & Mining,Andrew Forrest,61.374401095140314,Australia,Perth,Technology,Industrials & Manufacturing,Australia,True,U,M,1961-11-18 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1961.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,Mining,1
19100,Finance & Investments,Ray Dalio,73.65366187542779,United States,Greenwich,Finance and Investments,Financials & Investments,United States,True,D,M,1949-08-08 00:00:00,Founder & Co-Chief Investment Officer,2023-04-04 05:01:00,1949.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Bridgewater Associates, Hedge funds",2
19000,Manufacturing,Eric Li,59.841204654346335,China,Hangzhou,Transportation and Logistics,Consumer Discretionary,China,True,D,M,1963-06-01 00:00:00,Founder & Entrepreneur,2023-04-04 05:01:00,1963.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,Automobiles,1
